0 10 1 20 0.000525 0.000529 0.000525
1 30 21 40 0.001721 0.002425 0.001721
2 50 41 60 0.002506 0.004729 0.002506
3 70 61 80 0.008452 0.006897 0.008452
4 90 81 100 0.002690 0.006437 0.002690
5 110 101 120 0.004939 0.008743 0.004939
6 130 121 140 0.008959 0.011010 0.008959
7 150 141 160 0.006840 0.012179 0.006840
8 170 161 180 0.016023 0.014331 0.016023
9 190 181 200 0.011032 0.012367 0.011032
10 210 201 220 0.004781 0.012109 0.004781
11 230 221 240 0.011856 0.016313 0.011856
12 250 241 260 0.020814 0.018107 0.020814
13 270 261 280 0.013338 0.015878 0.013338
14 290 281 300 0.013850 0.016024 0.013850
15 310 301 320 0.010682 0.016870 0.010682
16 330 321 340 0.023708 0.018914 0.023708
17 350 341 360 0.010883 0.015736 0.010883
18 370 361 380 0.014382 0.016751 0.014382
19 390 381 400 0.014485 0.017043 0.014485
20 410 401 420 0.011641 0.017811 0.011641
21 430 421 440 0.021110 0.020110 0.021110
22 450 441 460 0.015722 0.018967 0.015722
23 470 461 480 0.013442 0.019870 0.013442
24 490 481 500 0.021214 0.022965 0.021214
25 510 501 520 0.019357 0.024179 0.019357
26 530 521 540 0.025476 0.026252 0.025476
27 550 541 560 0.023579 0.026503 0.023579
28 570 561 580 0.023324 0.027762 0.023324
29 590 581 600 0.033162 0.028692 0.033162
30 610 601 620 0.020105 0.025419 0.020105
31 630 621 640 0.024224 0.025583 0.024224
32 650 641 660 0.017982 0.023753 0.017982
33 670 661 680 0.016650 0.025088 0.016650
34 690 681 700 0.022745 0.028287 0.022745
35 710 701 720 0.022378 0.030083 0.022378
36 730 721 740 0.030277 0.031380 0.030277
37 750 741 760 0.016056 0.029604 0.016056
38 770 761 780 0.024473 0.033417 0.024473
39 790 781 800 0.030437 0.034905 0.030437
40 810 801 820 0.021562 0.032808 0.021562
41 830 821 840 0.018009 0.032552 0.018009
42 850 841 860 0.018738 0.034083 0.018738
43 870 861 880 0.017551 0.036544 0.017551
44 890 881 900 0.024506 0.039734 0.024506
45 910 901 920 0.019805 0.040994 0.019805
46 930 921 940 0.022656 0.044162 0.022656
47 950 941 960 0.027414 0.046539 0.027414
48 970 961 980 0.016689 0.046214 0.016689
49 990 981 1000 0.023889 0.036469 0.023889
