0 10 1 20 0.001161 0.000965 0.001161
1 30 21 40 0.006973 0.003865 0.006973
2 50 41 60 0.007649 0.004889 0.007649
3 70 61 80 0.007651 0.005199 0.007651
4 90 81 100 0.009189 0.005422 0.009189
5 110 101 120 0.008132 0.004930 0.008132
6 130 121 140 0.005553 0.004714 0.005553
7 150 141 160 0.011605 0.006124 0.011605
8 170 161 180 0.009870 0.006215 0.009870
9 190 181 200 0.013197 0.006764 0.013197
10 210 201 220 0.011817 0.006402 0.011817
11 230 221 240 0.010915 0.006086 0.010915
12 250 241 260 0.010892 0.006146 0.010892
13 270 261 280 0.012153 0.006654 0.012153
14 290 281 300 0.015637 0.007287 0.015637
15 310 301 320 0.013828 0.006936 0.013828
16 330 321 340 0.012772 0.006930 0.012772
17 350 341 360 0.016963 0.007596 0.016963
18 370 361 380 0.014631 0.007474 0.014631
19 390 381 400 0.017288 0.008025 0.017288
20 410 401 420 0.020347 0.008325 0.020347
21 430 421 440 0.015876 0.007566 0.015876
22 450 441 460 0.016153 0.007678 0.016153
23 470 461 480 0.017996 0.008084 0.017996
24 490 481 500 0.020115 0.008492 0.020115
25 510 501 520 0.019864 0.008306 0.019864
26 530 521 540 0.016757 0.007827 0.016757
27 550 541 560 0.019045 0.008092 0.019045
28 570 561 580 0.017000 0.007944 0.017000
29 590 581 600 0.018390 0.008333 0.018390
30 610 601 620 0.018905 0.008788 0.018905
31 630 621 640 0.021679 0.009378 0.021679
32 650 641 660 0.018947 0.009185 0.018947
33 670 661 680 0.018043 0.009153 0.018043
34 690 681 700 0.016196 0.009261 0.016196
35 710 701 720 0.019000 0.010077 0.019000
36 730 721 740 0.018851 0.010572 0.018851
37 750 741 760 0.018665 0.011160 0.018665
38 770 761 780 0.023047 0.012332 0.023047
39 790 781 800 0.023347 0.012729 0.023347
40 810 801 820 0.022320 0.013078 0.022320
41 830 821 840 0.022062 0.013477 0.022062
42 850 841 860 0.022181 0.013981 0.022181
43 870 861 880 0.024369 0.014787 0.024369
44 890 881 900 0.024902 0.015433 0.024902
45 910 901 920 0.026563 0.015960 0.026563
46 930 921 940 0.021740 0.016014 0.021740
47 950 941 960 0.029352 0.017158 0.029352
48 970 961 980 0.027104 0.017456 0.027104
49 990 981 1000 0.038417 0.013801 0.038417
