0.923126 0.054721 0.013086 0.004238 0.001441 0.000572 0.000343 0.000326 0.000333 0.000298 0.000236 0.000166 0.000107 0.000074 0.000059 0.000058 0.000064 0.000064 0.000055 0.000045 0.000035 0.000029 0.000028 0.000029 0.000030 0.000028 0.000027 0.000023 0.000020 0.000019 0.000019 0.000019 0.000019 0.000019 0.000018 0.000017 0.000017 0.000017 0.000017 0.000017 0.000018 0.000018 0.000017 0.000016 0.000015 0.000013 0.000012 0.000011 0.000011 0.000011 
0.199569 0.615021 0.118920 0.032652 0.012843 0.005474 0.002788 0.001810 0.001426 0.001284 0.001079 0.000848 0.000676 0.000511 0.000405 0.000341 0.000310 0.000282 0.000269 0.000236 0.000205 0.000180 0.000163 0.000152 0.000149 0.000145 0.000135 0.000129 0.000121 0.000115 0.000108 0.000106 0.000103 0.000100 0.000097 0.000097 0.000095 0.000091 0.000092 0.000093 0.000094 0.000096 0.000092 0.000090 0.000082 0.000076 0.000067 0.000061 0.000058 0.000061 
0.074285 0.185100 0.520051 0.122999 0.042443 0.021514 0.010521 0.004995 0.002392 0.001419 0.001261 0.001266 0.001329 0.001236 0.000988 0.000719 0.000493 0.000376 0.000362 0.000391 0.000399 0.000381 0.000331 0.000276 0.000236 0.000216 0.000218 0.000223 0.000233 0.000224 0.000206 0.000187 0.000172 0.000166 0.000172 0.000179 0.000176 0.000168 0.000164 0.000162 0.000158 0.000156 0.000158 0.000157 0.000154 0.000139 0.000122 0.000108 0.000104 0.000115 
0.025206 0.053249 0.128873 0.547341 0.136391 0.046965 0.022286 0.010625 0.005294 0.003062 0.002180 0.001873 0.001765 0.001633 0.001363 0.001043 0.000808 0.000637 0.000563 0.000542 0.000546 0.000502 0.000455 0.000399 0.000348 0.000323 0.000314 0.000314 0.000310 0.000313 0.000294 0.000271 0.000255 0.000250 0.000248 0.000242 0.000238 0.000235 0.000236 0.000234 0.000232 0.000234 0.000225 0.000223 0.000212 0.000197 0.000175 0.000158 0.000155 0.000164 
0.009119 0.022285 0.047313 0.145109 0.522543 0.136363 0.048629 0.023550 0.011384 0.006156 0.003652 0.002516 0.002145 0.001931 0.001696 0.001428 0.001150 0.000950 0.000790 0.000704 0.000644 0.000623 0.000572 0.000517 0.000472 0.000427 0.000404 0.000389 0.000385 0.000383 0.000376 0.000360 0.000344 0.000332 0.000314 0.000303 0.000298 0.000298 0.000305 0.000299 0.000300 0.000303 0.000296 0.000281 0.000267 0.000246 0.000227 0.000211 0.000203 0.000209 
0.003934 0.010330 0.026083 0.054342 0.148303 0.493614 0.136026 0.051886 0.025386 0.013276 0.006935 0.003862 0.002574 0.002107 0.001925 0.001780 0.001558 0.001321 0.001098 0.000888 0.000767 0.000701 0.000672 0.000634 0.000589 0.000543 0.000490 0.000462 0.000452 0.000451 0.000445 0.000449 0.000437 0.000407 0.000383 0.000368 0.000361 0.000356 0.000357 0.000365 0.000363 0.000367 0.000356 0.000339 0.000314 0.000294 0.000278 0.000263 0.000252 0.000255 
0.002482 0.005533 0.013415 0.027122 0.055624 0.143066 0.481589 0.137332 0.052106 0.028314 0.014351 0.007273 0.004016 0.002543 0.002074 0.001954 0.001866 0.001730 0.001451 0.001204 0.000966 0.000813 0.000744 0.000724 0.000692 0.000648 0.000601 0.000549 0.000523 0.000516 0.000509 0.000514 0.000507 0.000486 0.000459 0.000444 0.000426 0.000404 0.000411 0.000416 0.000426 0.000424 0.000410 0.000395 0.000372 0.000347 0.000325 0.000303 0.000297 0.000306 
0.002419 0.003679 0.006523 0.013241 0.027584 0.055882 0.140628 0.472370 0.134714 0.057649 0.029544 0.014292 0.007672 0.004148 0.002580 0.002132 0.002039 0.002017 0.001848 0.001576 0.001296 0.001039 0.000875 0.000800 0.000776 0.000745 0.000707 0.000661 0.000616 0.000595 0.000580 0.000566 0.000560 0.000557 0.000549 0.000525 0.000492 0.000467 0.000466 0.000472 0.000471 0.000478 0.000462 0.000449 0.000436 0.000407 0.000368 0.000342 0.000340 0.000365 
0.002365 0.002775 0.002990 0.006316 0.012765 0.026173 0.051078 0.128963 0.490948 0.139131 0.052528 0.026002 0.014486 0.008100 0.004390 0.002661 0.002108 0.002060 0.002070 0.001944 0.001687 0.001376 0.001083 0.000900 0.000838 0.000823 0.000807 0.000777 0.000737 0.000688 0.000635 0.000613 0.000600 0.000611 0.000622 0.000600 0.000566 0.000535 0.000525 0.000519 0.000521 0.000528 0.000521 0.000511 0.000488 0.000454 0.000413 0.000381 0.000382 0.000406 
0.002236 0.002636 0.001872 0.003856 0.007287 0.014449 0.029298 0.058254 0.146861 0.450700 0.136967 0.053297 0.030475 0.016455 0.008283 0.004173 0.002596 0.002270 0.002284 0.002298 0.002135 0.001799 0.001445 0.001138 0.000969 0.000895 0.000889 0.000877 0.000856 0.000801 0.000735 0.000694 0.000680 0.000673 0.000669 0.000674 0.000654 0.000623 0.000599 0.000576 0.000564 0.000570 0.000566 0.000561 0.000534 0.000498 0.000466 0.000438 0.000426 0.000451 
