0 10 1 20 0.000353 0.000365 0.000353
1 30 21 40 0.001064 0.001898 0.001064
2 50 41 60 0.006385 0.004609 0.006385
3 70 61 80 0.008062 0.005744 0.008062
4 90 81 100 0.010065 0.006432 0.010065
5 110 101 120 0.010591 0.006393 0.010591
6 130 121 140 0.006764 0.006226 0.006764
7 150 141 160 0.017291 0.008407 0.017291
8 170 161 180 0.013069 0.007781 0.013069
9 190 181 200 0.013611 0.007586 0.013611
10 210 201 220 0.011508 0.007211 0.011508
11 230 221 240 0.014065 0.007829 0.014065
12 250 241 260 0.013468 0.008426 0.013468
13 270 261 280 0.022992 0.009779 0.022992
14 290 281 300 0.014658 0.008493 0.014658
15 310 301 320 0.017555 0.009055 0.017555
16 330 321 340 0.019186 0.009669 0.019186
17 350 341 360 0.022185 0.010311 0.022185
18 370 361 380 0.022749 0.010129 0.022749
19 390 381 400 0.017082 0.009341 0.017082
20 410 401 420 0.024549 0.010153 0.024549
21 430 421 440 0.017677 0.009350 0.017677
22 450 441 460 0.024570 0.010337 0.024570
23 470 461 480 0.022642 0.010086 0.022642
24 490 481 500 0.021779 0.009606 0.021779
25 510 501 520 0.018634 0.008969 0.018634
26 530 521 540 0.018925 0.009111 0.018925
27 550 541 560 0.022140 0.009828 0.022140
28 570 561 580 0.022706 0.010365 0.022706
29 590 581 600 0.028739 0.011106 0.028739
30 610 601 620 0.024141 0.010297 0.024141
31 630 621 640 0.020638 0.009407 0.020638
32 650 641 660 0.018705 0.009082 0.018705
33 670 661 680 0.021655 0.009632 0.021655
34 690 681 700 0.020696 0.009972 0.020696
35 710 701 720 0.029314 0.011140 0.029314
36 730 721 740 0.024046 0.010269 0.024046
37 750 741 760 0.016522 0.009029 0.016522
38 770 761 780 0.024221 0.010224 0.024221
39 790 781 800 0.022197 0.009872 0.022197
40 810 801 820 0.016419 0.009208 0.016419
41 830 821 840 0.027484 0.010923 0.027484
42 850 841 860 0.019453 0.010136 0.019453
43 870 861 880 0.025765 0.011267 0.025765
44 890 881 900 0.025492 0.011265 0.025492
45 910 901 920 0.019982 0.010686 0.019982
46 930 921 940 0.032975 0.012743 0.032975
47 950 941 960 0.023926 0.011660 0.023926
48 970 961 980 0.030652 0.012670 0.030652
49 990 981 1000 0.031708 0.010690 0.031708
