0 10 1 20 0.000376 0.000472 0.000376
1 30 21 40 0.003280 0.002297 0.003280
2 50 41 60 0.005829 0.003489 0.005829
3 70 61 80 0.002406 0.003334 0.002406
4 90 81 100 0.006447 0.005380 0.006447
5 110 101 120 0.013056 0.006987 0.013056
6 130 121 140 0.008834 0.006405 0.008834
7 150 141 160 0.011012 0.007045 0.011012
8 170 161 180 0.010400 0.007387 0.010400
9 190 181 200 0.014775 0.008287 0.014775
10 210 201 220 0.012077 0.008330 0.012077
11 230 221 240 0.018845 0.009598 0.018845
12 250 241 260 0.017963 0.009338 0.017963
13 270 261 280 0.014864 0.008370 0.014864
14 290 281 300 0.011520 0.007978 0.011520
15 310 301 320 0.017733 0.009400 0.017733
16 330 321 340 0.017990 0.009921 0.017990
17 350 341 360 0.020377 0.010420 0.020377
18 370 361 380 0.017914 0.010634 0.017914
19 390 381 400 0.025661 0.012001 0.025661
20 410 401 420 0.024230 0.011622 0.024230
21 430 421 440 0.019327 0.010464 0.019327
22 450 441 460 0.016898 0.010116 0.016898
23 470 461 480 0.021525 0.010856 0.021525
24 490 481 500 0.018937 0.010763 0.018937
25 510 501 520 0.021194 0.011063 0.021194
26 530 521 540 0.018289 0.010964 0.018289
27 550 541 560 0.023092 0.011680 0.023092
28 570 561 580 0.019123 0.011604 0.019123
29 590 581 600 0.021948 0.012757 0.021948
30 610 601 620 0.019990 0.013308 0.019990
31 630 621 640 0.017791 0.013942 0.017791
32 650 641 660 0.021560 0.015068 0.021560
33 670 661 680 0.024389 0.015929 0.024389
34 690 681 700 0.021217 0.015976 0.021217
35 710 701 720 0.020786 0.016628 0.020786
36 730 721 740 0.027486 0.017925 0.027486
37 750 741 760 0.022718 0.017827 0.022718
38 770 761 780 0.018073 0.017981 0.018073
39 790 781 800 0.026538 0.019233 0.026538
40 810 801 820 0.025596 0.020355 0.025596
41 830 821 840 0.019220 0.020788 0.019220
42 850 841 860 0.026796 0.022374 0.026796
43 870 861 880 0.023474 0.022970 0.023474
44 890 881 900 0.018729 0.023457 0.018729
45 910 901 920 0.023560 0.025018 0.023560
46 930 921 940 0.021541 0.026373 0.021541
47 950 941 960 0.026132 0.028293 0.026132
48 970 961 980 0.030440 0.030214 0.030440
49 990 981 1000 0.041444 0.022895 0.041444
